Id,Date,Activity_Hour,Calories,Total_Intensity,Average_Intensity,Total_Steps
1503960366,12/04/2016,12:00:00 AM,81,20,0.333332986,373
1503960366,12/04/2016,1:00:00 AM,61,8,0.133332998,160
1503960366,12/04/2016,2:00:00 AM,59,7,0.116667002,151
1503960366,12/04/2016,3:00:00 AM,47,0,0,0
1503960366,12/04/2016,4:00:00 AM,48,0,0,0
1503960366,12/04/2016,5:00:00 AM,48,0,0,0
1503960366,12/04/2016,6:00:00 AM,48,0,0,0
1503960366,12/04/2016,7:00:00 AM,47,0,0,0
1503960366,12/04/2016,8:00:00 AM,68,13,0.216666996,250
1503960366,12/04/2016,9:00:00 AM,141,30,0.5,1864
1503960366,12/04/2016,10:00:00 AM,99,29,0.483332992,676
1503960366,12/04/2016,11:00:00 AM,76,12,0.200000003,360
1503960366,12/04/2016,12:00:00 PM,73,11,0.183332995,253
1503960366,12/04/2016,1:00:00 PM,66,6,0.100000001,221
1503960366,12/04/2016,2:00:00 PM,110,36,0.600000024,1166
1503960366,12/04/2016,3:00:00 PM,151,58,0.966666996,2063
1503960366,12/04/2016,4:00:00 PM,76,13,0.216666996,344
1503960366,12/04/2016,5:00:00 PM,83,16,0.266667008,489
1503960366,12/04/2016,6:00:00 PM,124,29,0.483332992,1386
1503960366,12/04/2016,7:00:00 PM,104,39,0.649999976,558
1503960366,12/04/2016,8:00:00 PM,132,41,0.68333298,1733
1503960366,12/04/2016,9:00:00 PM,100,31,0.516667008,684
1503960366,12/04/2016,10:00:00 PM,65,9,0.150000006,89
1503960366,12/04/2016,11:00:00 PM,81,21,0.349999994,338
1503960366,13/04/2016,12:00:00 AM,69,14,0.233333007,144
1503960366,13/04/2016,1:00:00 AM,48,0,0,0
1503960366,13/04/2016,2:00:00 AM,47,0,0,0
1503960366,13/04/2016,3:00:00 AM,53,4,0.066666998,36
1503960366,13/04/2016,4:00:00 AM,47,0,0,0
1503960366,13/04/2016,5:00:00 AM,47,0,0,0
1503960366,13/04/2016,6:00:00 AM,48,0,0,0
1503960366,13/04/2016,7:00:00 AM,59,8,0.133332998,126
1503960366,13/04/2016,8:00:00 AM,69,12,0.200000003,275
1503960366,13/04/2016,9:00:00 AM,136,27,0.449999988,1679
1503960366,13/04/2016,10:00:00 AM,77,15,0.25,295
1503960366,13/04/2016,11:00:00 AM,84,16,0.266667008,524
1503960366,13/04/2016,12:00:00 PM,82,15,0.25,486
1503960366,13/04/2016,1:00:00 PM,72,10,0.166666999,302
1503960366,13/04/2016,2:00:00 PM,128,46,0.766667008,1577
1503960366,13/04/2016,3:00:00 PM,79,13,0.216666996,493
1503960366,13/04/2016,4:00:00 PM,71,10,0.166666999,299
1503960366,13/04/2016,5:00:00 PM,87,23,0.383332998,695
1503960366,13/04/2016,6:00:00 PM,118,25,0.416667014,1343
1503960366,13/04/2016,7:00:00 PM,73,13,0.216666996,258
1503960366,13/04/2016,8:00:00 PM,47,0,0,0
1503960366,13/04/2016,9:00:00 PM,48,0,0,0
1503960366,13/04/2016,10:00:00 PM,74,11,0.183332995,437
1503960366,13/04/2016,11:00:00 PM,135,56,0.93333298,1766
1503960366,14/04/2016,12:00:00 AM,56,4,0.066666998,81
1503960366,14/04/2016,1:00:00 AM,54,3,0.050000001,58
1503960366,14/04/2016,2:00:00 AM,47,0,0,0
1503960366,14/04/2016,3:00:00 AM,47,0,0,0
1503960366,14/04/2016,4:00:00 AM,47,0,0,0
1503960366,14/04/2016,5:00:00 AM,47,0,0,0
1503960366,14/04/2016,6:00:00 AM,47,0,0,0
1503960366,14/04/2016,7:00:00 AM,47,0,0,0
1503960366,14/04/2016,8:00:00 AM,47,0,0,0
1503960366,14/04/2016,9:00:00 AM,93,14,0.233333007,902
1503960366,14/04/2016,10:00:00 AM,109,23,0.383332998,1106
1503960366,14/04/2016,11:00:00 AM,64,7,0.116667002,50
1503960366,14/04/2016,12:00:00 PM,85,18,0.300000012,501
1503960366,14/04/2016,1:00:00 PM,137,54,0.899999976,1779
1503960366,14/04/2016,2:00:00 PM,113,22,0.366667002,1228
1503960366,14/04/2016,3:00:00 PM,66,7,0.116667002,139
1503960366,14/04/2016,4:00:00 PM,88,25,0.416667014,408
1503960366,14/04/2016,5:00:00 PM,61,5,0.083333001,37
1503960366,14/04/2016,6:00:00 PM,72,12,0.200000003,322
1503960366,14/04/2016,7:00:00 PM,55,1,0.016666999,11
1503960366,14/04/2016,8:00:00 PM,91,24,0.400000006,806
1503960366,14/04/2016,9:00:00 PM,174,57,0.949999988,2670
1503960366,14/04/2016,10:00:00 PM,79,17,0.283333004,362
1503960366,14/04/2016,11:00:00 PM,50,0,0,0
1503960366,15/04/2016,12:00:00 AM,60,6,0.100000001,83
1503960366,15/04/2016,1:00:00 AM,58,5,0.083333001,75
